Id;Marca;Tipo;Capacidad_GB;Velocidad_MHz;Latencia_CAS;Voltaje;RGB;Modulos;Disipador;Precio_USD
175;Kingston;DDR5;16;5287;35;1,32;True;1;None;166,72
176;Samsung;DDR4;128;2935;19;1,29;False;2;High-End;258,08
177;Corsair;DDR4;128;2586;21;1,29;False;1;None;236,29
178;Kingston;DDR5;128;5846;36;1,23;False;1;Standard;349,47
179;Teamgroup;DDR5;8;7726;36;1,25;False;2;None;178,08
180;Corsair;DDR5;16;5312;40;1,25;True;4;Standard;186,56
181;Corsair;DDR5;32;7436;40;1,44;False;4;Standard;227,32
182;Kingston;DDR5;128;6903;40;1,42;True;1;Standard;360,89
183;Corsair;DDR5;64;5095;39;1,17;True;2;High-End;255,91
184;Corsair;DDR5;64;7903;34;1,44;True;1;High-End;288,26
185;Corsair;DDR5;128;7868;38;1,20;False;4;None;386,16
186;Teamgroup;DDR4;64;2649;17;1,16;True;1;None;171,99
187;Samsung;DDR5;16;6437;31;1,30;True;1;High-End;200,74
188;Teamgroup;DDR4;64;3061;16;1,23;False;2;None;176,79
189;Teamgroup;DDR5;128;7010;32;1,37;True;4;None;397,14
190;Teamgroup;DDR5;64;6212;35;1,26;True;4;None;278,77
191;Kingston;DDR4;8;3347;18;1,21;True;2;None;114,88
192;Samsung;DDR4;16;2723;17;1,42;True;2;Standard;124,98
193;Teamgroup;DDR4;16;3025;14;1,28;True;4;High-End;149,90
194;Corsair;DDR4;16;3839;19;1,30;False;1;Standard;118,91
195;Corsair;DDR5;128;5906;33;1,27;False;2;High-End;372,39
196;Kingston;DDR5;128;7851;31;1,41;True;4;None;408,25
197;Crucial;DDR5;32;5630;35;1,23;False;4;Standard;217,94
198;Crucial;DDR4;64;3586;15;1,19;True;2;Standard;192,49
199;Teamgroup;DDR4;64;3238;18;1,13;True;1;None;175,20
200;Teamgroup;DDR5;32;7275;31;1,14;True;1;None;222,21
201;Kingston;DDR4;128;3837;20;1,44;False;2;Standard;257,80
202;Crucial;DDR5;8;5303;33;1,16;False;2;Standard;163,38
203;Corsair;DDR5;64;5877;33;1,19;False;2;None;254,90
204;Teamgroup;DDR4;64;3680;18;1,20;False;2;None;178,74
205;G,Skill;DDR4;16;3772;14;1,29;True;2;High-End;143,88
206;G,Skill;DDR5;32;5057;33;1,31;True;2;High-End;215,81
207;Corsair;DDR4;64;3322;16;1,45;True;4;Standard;200,88
208;Kingston;DDR5;128;4917;40;1,20;False;2;High-End;347,54
209;G,Skill;DDR5;8;6994;32;1,33;True;4;None;202,57
210;Kingston;DDR4;8;2984;16;1,26;False;1;None;102,97
211;Samsung;DDR4;32;2966;21;1,43;False;1;High-End;134,13
212;Kingston;DDR5;16;5868;30;1,41;True;1;High-End;196,62
213;Samsung;DDR5;16;6781;36;1,29;False;1;Standard;178,13
214;G,Skill;DDR5;8;5494;32;1,36;False;1;High-End;167,47
215;Corsair;DDR4;128;3278;22;1,37;True;4;High-End;274,32
216;G,Skill;DDR4;64;3263;14;1,10;False;1;None;175,40
217;Crucial;DDR5;16;7242;40;1,34;False;4;None;193,91
218;Crucial;DDR4;8;3469;17;1,42;True;2;None;117,35
219;Teamgroup;DDR5;32;7655;37;1,44;False;4;None;230,36
220;Teamgroup;DDR4;8;2717;16;1,42;False;2;Standard;110,84
221;Samsung;DDR5;32;4995;35;1,10;False;2;Standard;194,89
222;Samsung;DDR5;16;5532;39;1,31;True;1;None;161,27
223;Corsair;DDR5;64;6849;39;1,42;True;4;High-End;291,05
224;Kingston;DDR4;8;2986;16;1,10;False;2;None;108,99
225;Crucial;DDR5;16;7190;36;1,44;True;2;High-End;206,85
226;G,Skill;DDR5;16;7667;31;1,43;True;2;None;208,62
227;Kingston;DDR5;32;7843;39;1,28;False;2;Standard;217,54
228;Crucial;DDR4;8;2775;15;1,24;True;2;High-End;124,80
229;Crucial;DDR5;64;5994;32;1,26;False;2;Standard;263,59
230;Kingston;DDR5;16;7341;39;1,20;False;2;High-End;194,30
231;Samsung;DDR4;8;3473;18;1,36;False;1;High-End;113,88
232;Corsair;DDR5;128;7677;33;1,29;True;2;High-End;399,62
233;G,Skill;DDR5;128;7835;37;1,24;False;2;High-End;385,13
234;G,Skill;DDR4;16;2990;19;1,20;True;4;Standard;136,12
235;Samsung;DDR4;64;2493;22;1,21;True;1;None;163,24
236;Corsair;DDR4;128;3537;17;1,37;True;4;None;273,90
237;Corsair;DDR5;64;5260;38;1,42;False;1;High-End;243,51
238;Samsung;DDR4;32;2625;21;1,45;True;1;None;127,40
239;Kingston;DDR5;32;7287;30;1,14;True;1;Standard;229,76
240;Kingston;DDR5;32;5277;40;1,44;True;1;None;182,41
241;Crucial;DDR5;64;6960;40;1,31;True;2;High-End;274,02
242;Teamgroup;DDR4;128;3731;16;1,36;False;1;High-End;262,95
243;Corsair;DDR5;8;5620;30;1,23;True;1;None;167,48
244;Teamgroup;DDR5;16;6321;32;1,41;False;1;Standard;181,26
245;Teamgroup;DDR5;64;5543;31;1,35;True;1;High-End;268,84
246;G,Skill;DDR5;32;7438;31;1,16;True;2;None;232,07
247;Samsung;DDR4;8;2827;15;1,42;True;2;High-End;125,22
248;Samsung;DDR5;16;7391;37;1,34;False;2;None;185,39
249;G,Skill;DDR5;128;7153;40;1,32;True;4;Standard;387,89
250;Samsung;DDR5;64;7599;36;1,40;False;1;Standard;264,72
251;G,Skill;DDR5;16;5874;34;1,13;False;4;None;191,28
252;Samsung;DDR4;64;3699;16;1,21;False;2;High-End;191,89
253;Corsair;DDR4;32;2555;15;1,13;True;4;Standard;157,84
254;Teamgroup;DDR5;8;7860;36;1,32;True;4;None;203,82
255;Corsair;DDR5;32;7154;33;1,21;True;2;None;224,95
256;Samsung;DDR5;128;5317;33;1,18;True;4;High-End;390,33
257;Crucial;DDR5;32;7041;35;1,42;True;4;High-End;249,38
258;Crucial;DDR5;16;6665;37;1,43;False;4;High-End;207,25
259;Samsung;DDR5;16;6354;39;1,41;True;2;High-End;191,74
260;Corsair;DDR4;128;2551;22;1,40;True;1;Standard;244,51
261;Teamgroup;DDR4;128;3626;15;1,16;True;4;Standard;281,61
262;G,Skill;DDR5;8;7558;37;1,20;True;4;High-End;212,04
263;Kingston;DDR5;64;5186;36;1,27;False;4;High-End;271,06
264;Teamgroup;DDR4;8;3960;20;1,42;False;1;Standard;108,78
265;Kingston;DDR5;128;7256;31;1,19;True;4;None;401,82
266;G,Skill;DDR5;128;6387;31;1,16;True;2;High-End;389,74
267;Samsung;DDR4;8;3814;19;1,21;False;2;None;111,11
268;Corsair;DDR4;64;3060;20;1,22;True;1;Standard;174,78
269;G,Skill;DDR5;16;6938;40;1,11;False;4;Standard;196,03
270;Kingston;DDR5;128;4902;40;1,31;False;1;High-End;339,28
271;Samsung;DDR4;8;3202;15;1,44;True;4;Standard;134,22
272;Samsung;DDR5;64;6275;37;1,44;True;1;None;251,10
273;Samsung;DDR4;64;3169;16;1,30;False;2;Standard;181,65
274;G,Skill;DDR5;128;7477;30;1,15;True;4;Standard;411,64
275;G,Skill;DDR5;128;5448;35;1,16;False;4;High-End;379,60
276;Corsair;DDR4;16;2947;18;1,32;False;2;High-End;125,28
277;Kingston;DDR5;8;5737;37;1,38;True;4;High-End;192,37
278;Corsair;DDR5;64;6156;31;1,24;False;2;Standard;267,36
279;Corsair;DDR4;32;2550;17;1,10;False;4;High-End;154,80
280;Crucial;DDR4;128;2521;15;1,30;False;1;High-End;254,77
281;Crucial;DDR5;8;7406;30;1,33;True;1;High-End;200,27
282;G,Skill;DDR4;128;2501;16;1,37;True;4;High-End;277,11
283;Kingston;DDR4;16;2413;19;1,20;False;4;Standard;125,50
284;Teamgroup;DDR4;32;2477;18;1,14;False;1;Standard;128,72
285;Kingston;DDR5;16;7791;39;1,43;False;2;Standard;191,06
286;Corsair;DDR4;32;3783;16;1,34;True;2;High-End;160,16
287;Teamgroup;DDR5;32;7715;35;1,37;True;4;High-End;256,66
288;Teamgroup;DDR4;64;3259;21;1,40;False;1;High-End;174,87
289;Crucial;DDR4;128;3508;15;1,30;False;2;None;258,66
290;Teamgroup;DDR5;64;7294;34;1,35;True;2;Standard;281,68
291;Samsung;DDR5;128;4844;31;1,41;False;2;Standard;356,88
292;Teamgroup;DDR4;64;3890;21;1,21;False;2;Standard;179,92
293;Crucial;DDR4;32;3940;14;1,23;False;2;Standard;152,42
294;Samsung;DDR4;16;2470;15;1,19;False;4;None;127,96
295;Teamgroup;DDR4;32;3098;14;1,45;False;2;None;141,68
296;Teamgroup;DDR4;32;2740;22;1,22;False;1;None;120,82
297;Kingston;DDR5;8;7206;36;1,15;True;1;Standard;177,86
298;Corsair;DDR4;8;3310;16;1,15;False;2;High-End;121,58
299;Corsair;DDR5;16;7068;37;1,17;False;2;None;181,90
300;Crucial;DDR4;16;2706;16;1,25;False;2;Standard;120,35
301;Teamgroup;DDR5;64;6707;35;1,34;True;4;None;284,12
302;G,Skill;DDR4;64;2504;20;1,28;True;2;Standard;176,33
303;Corsair;DDR4;128;3410;16;1,32;False;1;Standard;254,38
304;Teamgroup;DDR5;16;7596;30;1,29;True;2;Standard;215,28
305;Corsair;DDR5;64;5829;33;1,42;True;2;None;262,48
306;Corsair;DDR5;32;4825;31;1,12;False;4;Standard;217,35
307;G,Skill;DDR5;32;5309;30;1,22;True;2;Standard;216,50
308;Corsair;DDR5;16;5812;31;1,31;True;2;None;188,59
309;Crucial;DDR5;16;7918;31;1,24;False;1;None;195,13
310;Kingston;DDR5;16;5511;36;1,14;False;1;None;159,01
311;Corsair;DDR4;32;3583;22;1,44;False;2;High-End;143,56
312;Kingston;DDR4;8;3994;21;1,20;False;4;None;121,55
313;Corsair;DDR5;32;5378;34;1,18;False;2;Standard;201,05
314;Kingston;DDR4;32;2578;19;1,26;False;1;Standard;128,02
315;Samsung;DDR4;64;3477;15;1,34;True;1;High-End;191,62
316;Corsair;DDR4;16;2484;20;1,37;False;2;None;108,57
317;Teamgroup;DDR5;128;7808;39;1,39;False;1;None;359,19
318;Teamgroup;DDR5;8;5715;30;1,21;True;1;High-End;182,01
319;Crucial;DDR5;128;6308;40;1,40;False;1;Standard;346,36
320;Kingston;DDR4;8;3183;18;1,25;False;1;High-End;111,56
321;Samsung;DDR4;8;3191;19;1,31;True;2;High-End;122,13
322;Teamgroup;DDR4;16;3019;18;1,44;True;4;High-End;143,85
323;G,Skill;DDR4;64;3383;19;1,15;True;2;Standard;184,86
324;G,Skill;DDR4;128;2530;22;1,27;True;2;High-End;256,34
325;Kingston;DDR4;8;3912;20;1,13;False;4;None;122,40
326;Kingston;DDR4;8;2413;20;1,20;False;2;High-End;108,40
327;Crucial;DDR5;128;7625;36;1,21;False;1;Standard;368,69
328;G,Skill;DDR4;8;3051;22;1,15;False;1;High-End;104,51
329;Samsung;DDR5;128;5418;38;1,16;True;4;None;367,80
330;Crucial;DDR5;8;4845;33;1,37;False;2;Standard;158,44
331;Crucial;DDR5;64;6084;39;1,21;False;1;High-End;250,39
332;Kingston;DDR4;8;3036;16;1,19;False;4;Standard;125,39
333;Kingston;DDR4;64;3057;16;1,44;False;4;High-End;198,76
334;Teamgroup;DDR5;8;5967;35;1,23;False;1;Standard;158,40
335;Teamgroup;DDR4;32;2693;16;1,38;False;4;Standard;151,44
336;Samsung;DDR5;32;5728;38;1,21;True;1;Standard;196,73
337;Crucial;DDR4;32;3998;17;1,16;True;2;High-End;160,38
338;Corsair;DDR4;64;2506;14;1,19;False;4;High-End;197,35
339;Kingston;DDR4;16;2675;20;1,19;False;2;Standard;114,10
340;Corsair;DDR4;8;3349;14;1,17;False;2;None;114,89
341;Teamgroup;DDR5;16;5037;36;1,18;False;1;None;153,89
342;Teamgroup;DDR5;32;5464;34;1,35;False;2;None;196,58
343;Kingston;DDR5;16;7981;33;1,32;False;1;None;191,76
344;Samsung;DDR5;16;6661;35;1,12;False;2;Standard;186,96
345;G,Skill;DDR5;8;6240;33;1,37;False;1;None;160,00
346;Samsung;DDR4;64;3674;17;1,43;True;2;Standard;190,19
347;Crucial;DDR4;16;3787;14;1,17;False;1;Standard;126,00
348;Crucial;DDR4;8;2614;18;1,37;False;4;High-End;125,01
349;Teamgroup;DDR4;64;3254;16;1,36;False;4;None;190,33
350;Crucial;DDR4;32;3582;21;1,34;True;1;High-End;145,06
351;G,Skill;DDR5;8;5532;38;1,11;True;4;Standard;180,03
352;G,Skill;DDR5;8;4917;32;1,40;False;1;Standard;153,14
353;G,Skill;DDR4;16;3907;22;1,15;False;1;None;110,96
354;Kingston;DDR5;32;5193;31;1,26;False;1;Standard;197,02
355;Kingston;DDR5;128;6341;34;1,35;False;4;High-End;391,27
356;Kingston;DDR5;64;5988;38;1,17;True;4;High-End;283,78
357;G,Skill;DDR4;8;3946;21;1,30;False;2;High-End;119,17
358;Samsung;DDR5;64;4813;33;1,42;False;1;High-End;248,81
359;Crucial;DDR4;8;3261;22;1,24;True;2;High-End;118,19
360;Samsung;DDR5;16;7210;30;1,17;True;2;Standard;211,11
361;Crucial;DDR5;64;7573;39;1,42;True;1;None;261,07
362;Samsung;DDR5;128;4848;36;1,23;False;1;Standard;338,69
363;Crucial;DDR4;8;3566;22;1,25;False;2;None;104,63
364;Kingston;DDR4;128;3354;15;1,18;False;2;Standard;261,43
365;Crucial;DDR5;32;6785;33;1,42;True;1;Standard;218,27
366;Corsair;DDR4;128;3598;19;1,25;False;4;Standard;269,38
367;Samsung;DDR5;16;5082;39;1,17;False;1;High-End;161,81
368;Samsung;DDR4;32;2872;18;1,21;False;4;High-End;155,88
369;Crucial;DDR5;128;6408;40;1,17;False;2;Standard;355,54
370;Corsair;DDR4;16;3094;15;1,27;True;2;None;126,95
371;Crucial;DDR4;16;3913;16;1,40;True;2;Standard;136,00
372;Samsung;DDR4;8;2994;14;1,23;False;2;None;112,05
373;Crucial;DDR5;64;7105;37;1,42;False;1;None;251,96
374;Kingston;DDR5;32;7326;30;1,41;True;1;High-End;238,29
375;G,Skill;DDR4;8;3295;18;1,41;True;2;None;114,46
376;Kingston;DDR4;16;2968;15;1,24;False;4;Standard;135,94
377;Crucial;DDR5;16;4830;35;1,19;False;4;High-End;191,48
378;G,Skill;DDR4;8;3603;18;1,38;False;1;None;104,92
379;Samsung;DDR5;8;7450;35;1,33;True;1;High-End;190,62
380;Kingston;DDR5;8;6105;38;1,27;True;2;Standard;170,02
381;Corsair;DDR4;16;2503;22;1,25;True;1;None;105,72
382;Kingston;DDR5;8;6414;30;1,12;True;1;None;176,06
383;Samsung;DDR5;16;5564;32;1,40;False;4;None;191,99
384;Corsair;DDR5;128;6190;33;1,41;False;2;Standard;367,36
385;Teamgroup;DDR4;16;3388;20;1,44;True;1;High-End;125,80
386;Samsung;DDR4;32;2782;15;1,28;True;1;High-End;147,66
387;Kingston;DDR4;64;2567;14;1,41;False;4;High-End;197,84
388;G,Skill;DDR5;16;5328;30;1,14;True;1;High-End;190,79
389;Crucial;DDR5;8;7653;35;1,36;False;1;None;171,21
390;Corsair;DDR4;32;2489;21;1,33;False;2;Standard;130,31
391;Kingston;DDR4;16;3397;14;1,18;False;1;High-End;128,88
392;Corsair;DDR4;32;3955;22;1,24;True;4;High-End;164,54
393;G,Skill;DDR5;32;7184;40;1,41;False;1;None;194,90
394;Teamgroup;DDR4;64;2816;21;1,34;True;1;Standard;171,33
395;Corsair;DDR5;64;6534;34;1,35;True;1;Standard;265,37
396;Corsair;DDR4;64;3873;18;1,11;False;2;Standard;184,28
397;Kingston;DDR5;8;5298;32;1,11;True;2;None;168,05
398;G,Skill;DDR5;128;6337;37;1,34;False;1;High-End;360,85
